log_id,user_id,tool_id,session_date,session_duration_minutes,prompts_per_session,prompt_category,device_type,satisfaction_score,tokens_used
LOG0003165,USR01925,TOOL476,2024-03-12 00:00:00.000000,40.0,3.0,Productivity,Tablet,N/A,3136.0
LOG0023084,USR02228,TOOL009,2023-11-11 00:00:00.000000,65.0,44.0,Code Assistant,N/A,2,
LOG0006260,USR02377,TOOL011,2023-05-21 00:00:00.000000,57.0,6.0,Productivity,Tablet,4,5539.0
LOG0018212,USR02637,TOOL012,2023-04-13 00:00:00.000000,70.0,6.0,,DESKTOP,,4233.0
LOG0021245,USR02574,TOOL001,2024-06-03 00:00:00.000000,95.0,45.0,CODE ASSISTANT,N/A,,
LOG0005310,USR01844,TOOL008,2024-12-13 00:00:00.000000,31.0,43.0,,Tablet,0,7933.0
LOG0011272,USR01525,TOOL012,2024-07-14 00:00:00.000000,20.0,3.0,Text Generation,Mobile,,1676.0
LOG0020015,USR02667,TOOL011,2023-03-10 00:00:00.000000,51.0,,Video Generation,DESKTOP,6,1195.0
LOG0006164,USR00825,TOOL001,2024-07-16 00:00:00.000000,62.0,16.0,Search & Research,Desktop,1,597.0
LOG0024307,USR01500,TOOL003,2023-07-26 00:00:00.000000,48.0,5.0,Search & Research,N/A,0,363.0
LOG0007244,USR01251,TOOL011,2024-08-01 00:00:00.000000,79.0,1.0,Text Generation,DESKTOP,-1,4162.0
LOG0016673,USR02089,TOOL009,2024-09-04 00:00:00.000000,46.0,32.0,Search & Research,Mobile,4,4550.0
LOG0019673,USR02575,TOOL001,2024-11-09 00:00:00.000000,59.0,20.0,Text Generation,tablet,1,
LOG0018273,USR00345,TOOL003,2023-03-12 00:00:00.000000,102.0,11.0,Image Generation,Web Browser,-1,7403.0
LOG0002521,USR00631,TOOL011,2024-04-22 00:00:00.000000,96.0,19.0,Image Generation,Other,3,5156.0
LOG0011966,USR00728,TOOL003,2023-01-30 00:00:00.000000,12.0,47.0,N/A,Desktop,3,4354.0
LOG0000374,USR00463,TOOL002,2023-11-02 00:00:00.000000,55.0,13.0,Code Assistant,DESKTOP,0,7761.0
LOG0008341,USR01490,TOOL002,2023-12-04 00:00:00.000000,27.0,39.0,Video Generation,Other,0,7353.0
LOG0006298,USR01624,TOOL003,2024-09-06 00:00:00.000000,31.0,17.0,N/A,Web Browser,,1091.0
LOG0023287,USR00615,TOOL005,2023-12-24 00:00:00.000000,79.0,35.0,Text Generation,tablet,5,6582.0
LOG0015246,USR01807,TOOL011,2023-06-20 00:00:00.000000,99.0,1.0,N/A,Web Browser,4,4381.0
LOG0023630,USR02709,TOOL004,2023-12-25 00:00:00.000000,103.0,47.0,Code Assistant,Other,N/A,4553.0
LOG0008565,USR02554,TOOL009,2024-11-05 00:00:00.000000,25.0,35.0,CODE ASSISTANT,,N/A,2005.0
LOG0015651,USR00610,TOOL009,2024-01-05 00:00:00.000000,106.0,50.0,,Desktop,0,1906.0
LOG0011227,USR01907,TOOL007,2024-11-23 00:00:00.000000,78.0,46.0,Productivity,DESKTOP,2,2109.0
LOG0017324,USR00114,TOOL012,2024-01-20 00:00:00.000000,22.0,10.0,Other,Tablet,0,2168.0
LOG0022024,USR01597,TOOL005,2023-01-11 00:00:00.000000,2.0,48.0,CODE ASSISTANT,N/A,1,3797.0
LOG0015214,USR99900,TOOL001,2024-06-07 00:00:00.000000,86.0,11.0,Code Assistant,Web Browser,N/A,2004.0
LOG0002680,USR02654,TOOL011,2023-04-07 00:00:00.000000,14.0,46.0,text generation,Web Browser,N/A,7456.0
LOG0023915,USR01378,TOOL002,2023-05-31 00:00:00.000000,41.0,29.0,N/A,Desktop,2,
LOG0024477,USR02804,TOOL009,,71.0,,Other,mobile,N/A,3963.0
LOG0022693,USR00354,TOOL005,2023-02-04 00:00:00.000000,6.0,48.0,Productivity,mobile,3,5474.0
LOG0001234,USR01736,TOOL012,2024-12-11 00:00:00.000000,28.0,39.0,Text Generation,Desktop,3,6097.0
LOG0000606,USR00079,TOOL004,2024-04-23 00:00:00.000000,42.0,15.0,Search & Research,Tablet,,7891.0
LOG0024818,USR01349,TOOL003,2023-10-31 00:00:00.000000,119.0,45.0,,mobile,N/A,6040.0
LOG0007328,USR01586,TOOL009,2023-10-07 00:00:00.000000,26.0,42.0,Other,Web Browser,4,7345.0
LOG0012677,USR02454,TOOL005,2024-02-26 00:00:00.000000,90.0,43.0,CODE ASSISTANT,Other,1,7988.0
LOG0018468,USR01671,TOOL002,2024-08-13 00:00:00.000000,78.0,-4.0,,Other,5,5982.0
LOG0024618,USR01875,TOOL004,2023-09-05 00:00:00.000000,5817.0,48.0,Code Assistant,DESKTOP,1,477.0
LOG0000573,USR02052,TOOL001,2023-12-06 00:00:00.000000,27.0,21.0,Other,DESKTOP,5,4930.0
LOG0022013,USR02158,TOOL003,2023-02-13 00:00:00.000000,,23.0,text generation,Web Browser,5,1344.0
LOG0019002,USR00108,TOOL809,2023-02-12 00:00:00.000000,106.0,10.0,Image Generation,DESKTOP,N/A,4844.0
LOG0017185,USR01723,TOOL012,2023-01-02 00:00:00.000000,120.0,23.0,Code Assistant,Desktop,2,2422.0
LOG0017292,USR02198,TOOL012,2023-12-20 00:00:00.000000,92.0,2.0,Productivity,N/A,,1997.0
LOG0007819,USR02395,TOOL009,2025-01-06 00:00:00.000000,,5.0,Search & Research,Mobile,N/A,500.0
LOG0012961,USR01368,TOOL002,2024-08-14 00:00:00.000000,33.0,1.0,N/A,N/A,3,5387.0
LOG0013660,USR00412,TOOL001,2023-04-08 00:00:00.000000,,24.0,Search & Research,,1,1536.0
LOG0012415,USR01917,TOOL010,2024-11-22 00:00:00.000000,6451.0,41.0,N/A,Tablet,6,1022.0
LOG0003175,USR00424,TOOL003,2024-02-01 00:00:00.000000,100.0,27.0,Search & Research,DESKTOP,,5359.0
LOG0024234,USR02486,TOOL008,2023-01-02 00:00:00.000000,61.0,22.0,,Other,,5860.0
LOG0005067,USR02673,TOOL004,2023-10-09 00:00:00.000000,93.0,12.0,text generation,Desktop,2,1184.0
LOG0005199,USR01160,TOOL001,2026-09-19 02:05:25.239607,114.0,,Code Assistant,DESKTOP,6,735.0
LOG0007305,USR01094,TOOL001,2023-06-24 00:00:00.000000,12.0,41.0,CODE ASSISTANT,Desktop,-1,7042.0
LOG0019197,USR01614,TOOL011,2023-07-30 00:00:00.000000,46.0,46.0,Search & Research,DESKTOP,0,870.0
LOG0011474,USR01349,TOOL002,2023-09-06 00:00:00.000000,,38.0,Image Generation,tablet,2,5709.0
LOG0018284,USR00506,TOOL001,2023-10-22 00:00:00.000000,68.0,13.0,text generation,DESKTOP,5,2425.0
LOG0023905,USR02744,TOOL003,2023-08-14 00:00:00.000000,119.0,13.0,Code Assistant,tablet,6,509.0
LOG0022479,USR00470,TOOL003,2024-09-12 00:00:00.000000,115.0,45.0,,mobile,,6276.0
LOG0001775,USR01508,TOOL007,2024-04-11 00:00:00.000000,30.0,50.0,CODE ASSISTANT,tablet,3,1999.0
LOG0023025,USR00279,TOOL011,2024-08-16 00:00:00.000000,7526.0,32.0,,tablet,N/A,1551.0
LOG0014604,USR00078,TOOL010,2024-06-13 00:00:00.000000,70.0,39.0,N/A,Mobile,,6136.0
LOG0002539,USR01591,TOOL008,2025-01-08 00:00:00.000000,100.0,14.0,Productivity,mobile,6,6207.0
LOG0002889,USR02981,TOOL003,2023-11-03 00:00:00.000000,118.0,41.0,CODE ASSISTANT,Web Browser,,7737.0
LOG0022396,USR00249,TOOL010,2025-01-30 00:00:00.000000,32.0,46.0,text generation,Web Browser,2,5295.0
LOG0024032,USR01145,TOOL003,2024-03-29 00:00:00.000000,8115.0,9.0,Image Generation,DESKTOP,2,5646.0
LOG0013810,USR02129,TOOL011,2023-02-09 00:00:00.000000,26.0,12.0,Video Generation,Desktop,-1,5297.0
LOG0018147,USR02720,TOOL003,2024-05-08 00:00:00.000000,69.0,34.0,Image Generation,tablet,0,4075.0
LOG0007451,USR01578,TOOL003,2023-12-31 00:00:00.000000,104.0,35.0,,tablet,6,1029.0
LOG0004905,USR00442,TOOL001,2023-07-28 00:00:00.000000,35.0,6.0,CODE ASSISTANT,Other,1,4194.0
LOG0013817,USR02643,TOOL007,2025-01-23 00:00:00.000000,68.0,35.0,text generation,tablet,2,7918.0
LOG0009369,USR00006,TOOL008,2023-08-31 00:00:00.000000,11.0,31.0,Video Generation,N/A,4,1441.0
LOG0000235,USR00740,TOOL001,2023-05-11 00:00:00.000000,46.0,42.0,Code Assistant,Other,4,7580.0
LOG0000882,USR02213,TOOL004,2023-04-10 00:00:00.000000,79.0,40.0,Productivity,Desktop,4,4088.0
LOG0020304,USR00613,TOOL004,2023-08-16 00:00:00.000000,111.0,27.0,text generation,,1,2446.0
LOG0024123,USR02273,TOOL006,2024-05-06 00:00:00.000000,110.0,14.0,text generation,Mobile,1,6930.0
LOG0008775,USR02519,TOOL005,2026-10-31 02:05:25.266632,22.0,,N/A,Mobile,3,572.0
LOG0011126,USR00026,TOOL006,2024-01-06 00:00:00.000000,54.0,15.0,Productivity,Other,2,5784.0
LOG0017758,USR02664,TOOL009,2023-02-19 00:00:00.000000,33.0,11.0,N/A,Web Browser,2,341.0
LOG0004903,USR01820,TOOL005,2024-10-27 00:00:00.000000,113.0,7.0,Other,DESKTOP,0,4636.0
LOG0020617,USR02336,TOOL008,2024-11-24 00:00:00.000000,51.0,34.0,Search & Research,Mobile,6,3341.0
LOG0016931,USR00163,TOOL011,2024-02-25 00:00:00.000000,84.0,7.0,Search & Research,,-1,4302.0
LOG0008514,USR02866,TOOL005,2024-07-14 00:00:00.000000,44.0,48.0,N/A,Other,0,456.0
LOG0022554,USR02609,TOOL003,2023-01-15 00:00:00.000000,-14.0,47.0,Productivity,mobile,4,4470.0
LOG0013105,USR01727,TOOL008,2023-09-14 00:00:00.000000,12.0,21.0,Productivity,mobile,,6959.0
LOG0007588,USR00888,TOOL010,2024-05-12 00:00:00.000000,50.0,43.0,Video Generation,Tablet,-1,6198.0
LOG0018628,USR02180,TOOL012,2023-10-13 00:00:00.000000,95.0,49.0,Text Generation,N/A,N/A,239.0
LOG0005052,USR00520,TOOL006,2024-05-11 00:00:00.000000,48.0,19.0,text generation,tablet,0,1403.0
LOG0008829,USR01359,TOOL003,2025-01-09 00:00:00.000000,92.0,40.0,Other,Mobile,0,2262.0
LOG0003868,USR02308,TOOL006,2023-11-06 00:00:00.000000,109.0,16.0,CODE ASSISTANT,Web Browser,2,1201.0
LOG0003306,USR01870,TOOL002,2023-09-08 00:00:00.000000,37.0,36.0,text generation,Web Browser,-1,597.0
LOG0006862,USR02521,TOOL010,2023-11-10 00:00:00.000000,37.0,42.0,CODE ASSISTANT,mobile,2,4687.0
LOG0021218,USR01525,TOOL001,2023-10-29 00:00:00.000000,91.0,,CODE ASSISTANT,Desktop,5,2405.0
LOG0016893,USR02645,TOOL011,2023-09-12 00:00:00.000000,17.0,50.0,N/A,Mobile,1,3345.0
LOG0000244,USR01976,TOOL003,2023-11-15 00:00:00.000000,70.0,34.0,text generation,,0,1511.0
LOG0015068,USR01063,TOOL003,2023-12-18 00:00:00.000000,14.0,8.0,CODE ASSISTANT,mobile,6,5970.0
LOG0022727,USR99403,TOOL001,2023-02-03 00:00:00.000000,60.0,32.0,CODE ASSISTANT,Web Browser,-1,2274.0
LOG0024557,USR02696,TOOL003,2024-07-07 00:00:00.000000,60.0,4.0,N/A,Mobile,5,3394.0
LOG0018454,USR02364,TOOL009,2023-06-07 00:00:00.000000,,19.0,Text Generation,Desktop,2,5160.0
LOG0000708,USR01436,TOOL009,2024-11-11 00:00:00.000000,76.0,42.0,Search & Research,Desktop,,5828.0
LOG0021771,USR01051,TOOL007,2023-06-05 00:00:00.000000,22.0,17.0,Search & Research,Desktop,4,6770.0
LOG0015260,USR01271,TOOL007,2024-08-25 00:00:00.000000,92.0,48.0,Text Generation,Tablet,4,2884.0
LOG0005327,USR00432,TOOL005,2026-06-02 02:05:25.240606,,25.0,Other,Web Browser,2,4421.0
LOG0014286,USR02251,TOOL001,2023-07-21 00:00:00.000000,2.0,33.0,,Mobile,0,4078.0
LOG0004487,USR01569,TOOL003,2024-05-04 00:00:00.000000,48.0,27.0,Text Generation,Mobile,N/A,4141.0
LOG0016926,USR01058,TOOL004,2023-02-20 00:00:00.000000,-24.0,23.0,Image Generation,Web Browser,4,145.0
LOG0013934,USR01820,TOOL001,2023-05-16 00:00:00.000000,20.0,44.0,N/A,Other,0,3166.0
LOG0010229,USR01794,TOOL007,2023-08-18 00:00:00.000000,45.0,46.0,Productivity,mobile,3,5652.0
LOG0000141,USR99632,TOOL009,2024-05-05 00:00:00.000000,115.0,4.0,Productivity,,3,5583.0
LOG0020749,USR02346,TOOL003,2024-04-26 00:00:00.000000,72.0,,Productivity,DESKTOP,4,3542.0
LOG0020311,USR00548,TOOL008,2025-01-10 00:00:00.000000,60.0,28.0,Image Generation,Tablet,1,4505.0
LOG0006053,USR01140,TOOL001,2024-07-21 00:00:00.000000,80.0,21.0,Code Assistant,Other,,4002.0
LOG0007670,USR01287,TOOL005,2024-09-14 00:00:00.000000,114.0,28.0,text generation,N/A,N/A,1020.0
LOG0023159,USR00515,TOOL009,2024-08-09 00:00:00.000000,,38.0,,Desktop,6,4607.0
LOG0002649,USR01320,TOOL001,2024-12-10 00:00:00.000000,99.0,9.0,Search & Research,Mobile,6,5872.0
LOG0001205,USR00672,TOOL001,2024-09-22 00:00:00.000000,5.0,41.0,N/A,tablet,,6149.0
LOG0003979,USR00337,TOOL011,2023-05-11 00:00:00.000000,-14.0,1.0,Code Assistant,,2,3218.0
LOG0021310,USR01603,TOOL001,2024-04-09 00:00:00.000000,62.0,33.0,,Tablet,4,2436.0
LOG0014539,USR02444,TOOL002,2024-01-26 00:00:00.000000,60.0,36.0,Search & Research,Desktop,6,7239.0
LOG0019778,USR00610,TOOL008,,3281.0,40.0,Other,Desktop,N/A,7717.0
LOG0001978,USR02551,TOOL005,2023-05-29 00:00:00.000000,100.0,31.0,Text Generation,Mobile,2,2573.0
LOG0018499,USR00150,TOOL004,2024-11-24 00:00:00.000000,110.0,13.0,Other,Desktop,5,6969.0
LOG0011077,USR00393,TOOL001,2024-11-23 00:00:00.000000,79.0,17.0,Image Generation,N/A,5,3749.0
LOG0023200,USR00809,TOOL004,2024-05-04 00:00:00.000000,47.0,18.0,N/A,N/A,2,473.0
LOG0006428,USR00283,TOOL007,2024-09-08 00:00:00.000000,68.0,37.0,CODE ASSISTANT,N/A,-1,5500.0
LOG0001723,USR00882,TOOL011,2023-11-21 00:00:00.000000,33.0,2.0,Search & Research,Other,4,4448.0
LOG0008588,USR01096,TOOL009,2024-05-04 00:00:00.000000,113.0,47.0,,Mobile,,7735.0
LOG0015495,USR00832,TOOL012,2024-12-27 00:00:00.000000,2943.0,12.0,N/A,Web Browser,N/A,6140.0
LOG0006122,USR02380,TOOL011,2024-07-27 00:00:00.000000,60.0,31.0,Text Generation,Web Browser,6,713.0
LOG0024268,USR02484,TOOL007,2024-12-07 00:00:00.000000,100.0,42.0,Text Generation,Other,N/A,5224.0
LOG0019969,USR02119,TOOL006,2023-10-03 00:00:00.000000,92.0,42.0,Other,N/A,6,1564.0
LOG0010114,USR01640,TOOL002,2024-08-22 00:00:00.000000,92.0,,Other,Web Browser,4,6946.0
LOG0013676,USR01454,TOOL002,2023-05-31 00:00:00.000000,68.0,32.0,Other,,0,5669.0
LOG0021615,USR02929,TOOL009,2023-07-29 00:00:00.000000,108.0,28.0,Other,Other,0,3569.0
LOG0013570,USR00869,TOOL001,2023-12-16 00:00:00.000000,71.0,46.0,text generation,tablet,2,
LOG0018233,USR02634,TOOL003,2024-03-29 00:00:00.000000,92.0,32.0,Video Generation,Tablet,0,2878.0
LOG0024082,USR01528,TOOL008,2023-04-12 00:00:00.000000,120.0,13.0,Search & Research,Mobile,2,
LOG0022910,USR02847,TOOL003,2023-05-27 00:00:00.000000,3.0,34.0,,Tablet,,5039.0
LOG0016710,USR02790,TOOL004,2024-02-23 00:00:00.000000,66.0,34.0,Text Generation,Web Browser,4,4296.0
LOG0011917,USR00223,TOOL011,2024-09-24 00:00:00.000000,47.0,28.0,Search & Research,DESKTOP,4,3663.0
LOG0007567,USR00513,TOOL003,2024-04-01 00:00:00.000000,88.0,,Code Assistant,Other,2,7636.0
LOG0023351,USR02910,TOOL001,2023-09-18 00:00:00.000000,8.0,12.0,text generation,tablet,2,892.0
LOG0006399,USR01710,TOOL001,2023-06-26 00:00:00.000000,27.0,14.0,text generation,Other,0,7625.0
LOG0009605,USR02998,TOOL003,2026-10-01 02:05:25.272956,1060.0,1.0,text generation,Mobile,N/A,5853.0
LOG0021693,USR02021,TOOL012,2024-05-01 00:00:00.000000,116.0,1.0,,Web Browser,N/A,4502.0
LOG0022391,USR02497,TOOL003,2023-03-08 00:00:00.000000,109.0,21.0,,N/A,,6053.0
LOG0022930,USR01002,TOOL012,2024-07-20 00:00:00.000000,70.0,30.0,Productivity,tablet,-1,
LOG0013997,USR02985,TOOL010,2023-02-13 00:00:00.000000,69.0,45.0,Text Generation,Mobile,6,6158.0
LOG0009791,USR01409,TOOL003,2024-12-28 00:00:00.000000,11.0,33.0,Code Assistant,mobile,6,1685.0
LOG0014542,USR01562,TOOL010,2023-07-18 00:00:00.000000,68.0,42.0,,Other,5,5168.0
LOG0022481,USR01935,TOOL005,2023-01-04 00:00:00.000000,112.0,37.0,Image Generation,Mobile,4,
LOG0017957,USR01281,TOOL003,2024-04-18 00:00:00.000000,93.0,32.0,Image Generation,mobile,2,7558.0
LOG0017214,USR01724,TOOL012,2024-12-14 00:00:00.000000,48.0,,Other,Web Browser,5,407.0
LOG0008038,USR02006,TOOL006,2023-10-16 00:00:00.000000,106.0,1.0,CODE ASSISTANT,N/A,6,6153.0
LOG0014345,USR01608,TOOL008,2023-05-29 00:00:00.000000,7.0,36.0,Video Generation,Tablet,4,4771.0
LOG0006956,USR00864,TOOL010,2024-04-14 00:00:00.000000,16.0,1.0,N/A,,5,5517.0
LOG0009044,USR00001,TOOL006,2023-03-31 00:00:00.000000,42.0,8.0,Search & Research,Web Browser,N/A,2106.0
LOG0008614,USR02240,TOOL005,2023-05-22 00:00:00.000000,52.0,21.0,Code Assistant,tablet,N/A,6585.0
LOG0002867,USR01324,TOOL011,2023-01-09 00:00:00.000000,23.0,32.0,,Desktop,0,6833.0
LOG0013338,USR01622,TOOL008,2024-03-13 00:00:00.000000,25.0,6.0,,Mobile,2,1775.0
LOG0006656,USR02754,TOOL009,2023-12-18 00:00:00.000000,,16.0,Code Assistant,N/A,6,1726.0
LOG0014337,USR01450,TOOL003,2023-11-06 00:00:00.000000,82.0,,Search & Research,Mobile,5,7598.0
LOG0003966,USR02087,TOOL003,2024-02-04 00:00:00.000000,66.0,50.0,Text Generation,N/A,N/A,6068.0
LOG0007716,USR00879,TOOL001,2023-11-25 00:00:00.000000,21.0,5.0,Other,Other,0,2971.0
LOG0019879,USR02660,TOOL007,2023-08-15 00:00:00.000000,,47.0,Productivity,Desktop,4,7782.0
LOG0021901,USR01792,TOOL006,2023-08-08 00:00:00.000000,90.0,46.0,N/A,Desktop,3,
LOG0024840,USR01952,TOOL008,2024-05-30 00:00:00.000000,101.0,11.0,,Web Browser,-1,1838.0
LOG0011353,USR01487,TOOL001,2024-10-27 00:00:00.000000,90.0,48.0,Code Assistant,,4,5579.0
LOG0008526,USR01369,TOOL003,2024-09-07 00:00:00.000000,117.0,21.0,Productivity,Desktop,-1,2482.0
LOG0006694,USR01595,TOOL004,2024-10-11 00:00:00.000000,108.0,48.0,Image Generation,Web Browser,-1,7503.0
LOG0016888,USR01939,TOOL006,2023-12-25 00:00:00.000000,62.0,50.0,Search & Research,Tablet,3,1111.0
LOG0002092,USR01979,TOOL008,2023-01-13 00:00:00.000000,44.0,20.0,Image Generation,DESKTOP,5,5220.0
LOG0016569,USR00915,TOOL011,2023-05-11 00:00:00.000000,8.0,,Image Generation,N/A,3,6880.0
LOG0014725,USR01757,TOOL005,2024-07-08 00:00:00.000000,34.0,50.0,,DESKTOP,-1,1529.0
LOG0022814,USR02139,TOOL007,2024-04-05 00:00:00.000000,-27.0,19.0,Text Generation,Tablet,0,7553.0
LOG0018999,USR00221,TOOL012,2023-02-20 00:00:00.000000,119.0,50.0,Text Generation,mobile,-1,7690.0
LOG0013824,USR00395,TOOL001,2024-05-16 00:00:00.000000,101.0,30.0,Search & Research,mobile,5,6428.0
LOG0008486,USR01831,TOOL012,2024-12-02 00:00:00.000000,43.0,38.0,Other,Other,6,2177.0
LOG0007343,USR00290,TOOL001,2024-02-21 00:00:00.000000,93.0,11.0,N/A,Mobile,6,349.0
LOG0003264,USR02649,TOOL007,2023-10-21 00:00:00.000000,104.0,15.0,CODE ASSISTANT,mobile,N/A,1967.0
LOG0005138,USR00655,TOOL001,2024-02-14 00:00:00.000000,71.0,,,Other,5,2411.0
LOG0002511,USR02010,TOOL003,2023-08-11 00:00:00.000000,61.0,31.0,Image Generation,N/A,4,5277.0
LOG0022504,USR02550,TOOL001,2024-10-28 00:00:00.000000,73.0,35.0,Image Generation,tablet,1,1102.0
LOG0001363,USR02239,TOOL005,2024-09-24 00:00:00.000000,2382.0,39.0,Search & Research,Tablet,2,100.0
LOG0015902,USR01097,TOOL007,2024-08-02 00:00:00.000000,116.0,38.0,N/A,Web Browser,-1,826.0
LOG0023295,USR00083,TOOL004,2024-10-06 00:00:00.000000,46.0,4.0,Video Generation,Tablet,3,1099.0
LOG0013132,USR00919,TOOL004,2024-07-29 00:00:00.000000,29.0,36.0,Other,tablet,6,1808.0
LOG0024466,USR02445,TOOL010,2023-12-23 00:00:00.000000,48.0,15.0,N/A,Tablet,N/A,627.0
LOG0014606,USR02185,TOOL004,2024-12-09 00:00:00.000000,-26.0,11.0,Code Assistant,Desktop,3,4140.0
LOG0005808,USR02369,TOOL008,2023-10-15 00:00:00.000000,89.0,33.0,CODE ASSISTANT,tablet,4,1404.0
LOG0023992,USR01150,TOOL004,2023-09-04 00:00:00.000000,111.0,1.0,Text Generation,Other,-1,1970.0
LOG0023515,USR02132,TOOL001,2025-01-27 00:00:00.000000,44.0,50.0,N/A,,0,5821.0
LOG0006478,USR99335,TOOL003,2024-05-31 00:00:00.000000,43.0,32.0,,Desktop,,6413.0
LOG0006897,USR01156,TOOL011,2023-08-28 00:00:00.000000,76.0,18.0,Code Assistant,Tablet,,667.0
LOG0013502,USR99694,TOOL012,2024-09-04 00:00:00.000000,103.0,24.0,Search & Research,DESKTOP,-1,523.0
LOG0019426,USR00499,TOOL006,2024-10-16 00:00:00.000000,27.0,37.0,Video Generation,Tablet,2,7035.0
LOG0020697,USR00517,TOOL006,2024-06-21 00:00:00.000000,63.0,28.0,N/A,Web Browser,N/A,2699.0
LOG0004468,USR01458,TOOL001,2025-01-08 00:00:00.000000,53.0,14.0,Search & Research,tablet,0,2178.0
LOG0000486,USR01600,TOOL002,2024-06-21 00:00:00.000000,54.0,,,tablet,-1,5700.0
LOG0016928,USR01136,TOOL009,2023-12-22 00:00:00.000000,108.0,28.0,N/A,N/A,,820.0
LOG0020415,USR01468,TOOL008,2024-09-03 00:00:00.000000,,6.0,Other,Web Browser,,2943.0
LOG0004415,USR00751,TOOL008,2023-02-23 00:00:00.000000,67.0,9.0,CODE ASSISTANT,Web Browser,,6870.0
LOG0000008,USR00302,TOOL010,2023-09-18 00:00:00.000000,-5.0,,Code Assistant,mobile,,564.0
LOG0023968,USR02591,TOOL001,2025-01-06 00:00:00.000000,112.0,,Search & Research,tablet,-1,5547.0
LOG0013435,USR00461,TOOL003,2023-12-16 00:00:00.000000,20.0,1.0,text generation,mobile,-1,7106.0
LOG0001349,USR01093,TOOL003,2024-05-20 00:00:00.000000,82.0,,CODE ASSISTANT,Other,6,4993.0
LOG0006873,USR01305,TOOL011,2025-01-28 00:00:00.000000,8777.0,44.0,CODE ASSISTANT,Mobile,-1,5804.0
LOG0010830,USR00584,TOOL001,2024-07-17 00:00:00.000000,76.0,25.0,Productivity,DESKTOP,3,3497.0
LOG0010845,USR00645,TOOL009,2023-09-14 00:00:00.000000,23.0,41.0,Video Generation,Tablet,6,4951.0
LOG0014417,USR02757,TOOL006,2024-01-09 00:00:00.000000,3.0,47.0,text generation,Other,N/A,3817.0
LOG0023058,USR02857,TOOL003,2025-01-10 00:00:00.000000,104.0,29.0,,Web Browser,N/A,813.0
LOG0008806,USR02032,TOOL001,2024-05-11 00:00:00.000000,49.0,20.0,N/A,Tablet,,3201.0
LOG0004368,USR01217,TOOL009,2023-09-06 00:00:00.000000,30.0,44.0,text generation,tablet,2,548.0
LOG0013044,USR02535,TOOL012,2023-10-04 00:00:00.000000,20.0,29.0,Text Generation,Tablet,,1088.0
LOG0024843,USR02856,TOOL004,2023-02-07 00:00:00.000000,3.0,46.0,CODE ASSISTANT,tablet,4,7961.0
LOG0011499,USR00298,TOOL003,,47.0,44.0,Text Generation,Tablet,0,862.0
LOG0014877,USR00228,TOOL339,2025-01-24 00:00:00.000000,20.0,41.0,Text Generation,Web Browser,-1,
LOG0006665,USR00978,TOOL002,2024-03-21 00:00:00.000000,53.0,22.0,CODE ASSISTANT,N/A,2,2454.0
LOG0007932,USR02524,TOOL011,2023-07-30 00:00:00.000000,45.0,,Other,mobile,1,3486.0
LOG0015720,USR01238,TOOL012,2024-11-20 00:00:00.000000,45.0,44.0,Search & Research,tablet,5,4591.0
LOG0001118,USR99714,TOOL007,2024-02-22 00:00:00.000000,111.0,3.0,Other,Mobile,3,923.0
LOG0018105,USR01859,TOOL009,2023-11-05 00:00:00.000000,55.0,29.0,Search & Research,N/A,4,4411.0
LOG0003849,USR01952,TOOL004,2024-07-06 00:00:00.000000,4.0,27.0,Image Generation,DESKTOP,2,4341.0
LOG0002347,USR00768,TOOL007,2025-01-03 00:00:00.000000,103.0,1.0,Other,DESKTOP,,6507.0
LOG0010310,USR02659,TOOL002,2023-09-02 00:00:00.000000,83.0,13.0,Video Generation,Mobile,0,509.0
LOG0002209,USR01732,TOOL011,2023-11-23 00:00:00.000000,97.0,5.0,N/A,mobile,-1,5761.0
LOG0008823,USR02860,TOOL005,2024-11-12 00:00:00.000000,100.0,15.0,Search & Research,Web Browser,2,518.0
LOG0014906,USR01486,TOOL012,2024-09-07 00:00:00.000000,-20.0,39.0,Search & Research,Desktop,6,3175.0
LOG0005148,USR01475,TOOL007,2023-09-16 00:00:00.000000,4110.0,40.0,N/A,Desktop,2,5621.0
LOG0008536,USR01882,TOOL003,2024-03-19 00:00:00.000000,79.0,7.0,Text Generation,Tablet,0,6195.0
LOG0007548,USR01850,TOOL007,2024-06-10 00:00:00.000000,24.0,21.0,Text Generation,Web Browser,5,3019.0
LOG0022311,USR01674,TOOL005,2024-02-19 00:00:00.000000,112.0,5.0,Other,mobile,N/A,6394.0
LOG0000595,USR01889,TOOL003,2024-04-17 00:00:00.000000,47.0,44.0,Image Generation,Mobile,,2997.0
LOG0006580,USR02968,TOOL006,2024-07-03 00:00:00.000000,114.0,20.0,Text Generation,Mobile,3,1498.0
LOG0017551,USR00340,TOOL001,2023-12-02 00:00:00.000000,91.0,19.0,Image Generation,Web Browser,N/A,584.0
LOG0012741,USR01795,TOOL005,2024-11-28 00:00:00.000000,81.0,48.0,Search & Research,Web Browser,4,7633.0
LOG0015596,USR00589,TOOL003,2024-07-03 00:00:00.000000,1.0,19.0,N/A,,3,6630.0
LOG0008751,USR01600,TOOL012,2023-10-30 00:00:00.000000,21.0,40.0,Text Generation,Other,6,1896.0
LOG0014962,USR01703,TOOL011,2023-06-25 00:00:00.000000,63.0,23.0,Video Generation,Desktop,0,7247.0
